iter	MAE
0	1493.350958
1	1493.171377
2	1492.985824
3	1492.803383
4	1492.616252
5	1492.450053
6	1492.267865
7	1492.095697
8	1491.915832
9	1491.741422
10	1491.55211
11	1491.363714
12	1491.176394
13	1491.005475
14	1490.829835
15	1490.650586
16	1490.473454
17	1490.300972
18	1490.118186
19	1489.949485
20	1489.758579
21	1489.577611
22	1489.393121
23	1489.203601
24	1489.028798
25	1488.854807
26	1488.676676
27	1488.497415
28	1488.317476
29	1488.134686
30	1487.9552
31	1487.771125
32	1487.597397
33	1487.409053
34	1487.218502
35	1487.039977
36	1486.862442
37	1486.679624
38	1486.496894
39	1486.323544
40	1486.135614
41	1485.96019
42	1485.775901
43	1485.599112
44	1485.412868
45	1485.241629
46	1485.060509
47	1484.885539
48	1484.718313
49	1484.547239
50	1484.367911
51	1484.195539
52	1484.021155
53	1483.847447
54	1483.674501
55	1483.507539
56	1483.331433
57	1483.155953
58	1482.986755
59	1482.823341
60	1482.646492
61	1482.469628
62	1482.290294
63	1482.119593
64	1481.950503
65	1481.777906
66	1481.601305
67	1481.418288
68	1481.234013
69	1481.057002
70	1480.872928
71	1480.702593
72	1480.52638
73	1480.346346
74	1480.172649
75	1480.002904
76	1479.831918
77	1479.656236
78	1479.488907
79	1479.317457
80	1479.149489
81	1478.971145
82	1478.797461
83	1478.615624
84	1478.443061
85	1478.263592
86	1478.098319
87	1477.930926
88	1477.763604
89	1477.595181
90	1477.411606
91	1477.23394
92	1477.069274
93	1476.906904
94	1476.734812
95	1476.558173
96	1476.379303
97	1476.216036
98	1476.042962
99	1475.881646
100	1475.720369
101	1475.539503
102	1475.365062
103	1475.187209
104	1475.009304
105	1474.847843
106	1474.680219
107	1474.506899
108	1474.326406
109	1474.158623
110	1473.983776
111	1473.806171
112	1473.62523
113	1473.460233
114	1473.282229
115	1473.121201
116	1472.954812
117	1472.778284
118	1472.609673
119	1472.438704
120	1472.265362
121	1472.08915
122	1471.924071
123	1471.759296
124	1471.591913
125	1471.425775
126	1471.248393
127	1471.085358
128	1470.920559
129	1470.758439
130	1470.580511
131	1470.411337
132	1470.24013
133	1470.074165
134	1469.900957
135	1469.732105
136	1469.561464
137	1469.390402
138	1469.220574
139	1469.055223
140	1468.878925
141	1468.710619
142	1468.546312
143	1468.374672
144	1468.209233
145	1468.042079
146	1467.874385
147	1467.707188
148	1467.537589
149	1467.37117
150	1467.20609
151	1467.047398
152	1466.877221
153	1466.709406
154	1466.547578
155	1466.370701
156	1466.204626
157	1466.03914
158	1465.862774
159	1465.697781
160	1465.526188
161	1465.363277
162	1465.20793
163	1465.050497
164	1464.886606
165	1464.71971
166	1464.553806
167	1464.392537
168	1464.228545
169	1464.064908
170	1463.906044
171	1463.749897
172	1463.58375
173	1463.422829
174	1463.2554
175	1463.085693
176	1462.918589
177	1462.749621
178	1462.578685
179	1462.423234
180	1462.251451
181	1462.089685
182	1461.918597
183	1461.758494
184	1461.599546
185	1461.441756
186	1461.26638
187	1461.104348
188	1460.945338
189	1460.789545
190	1460.623679
191	1460.467828
192	1460.30522
193	1460.139029
194	1459.973736
195	1459.810239
196	1459.636702
197	1459.472483
198	1459.309301
199	1459.151723
200	1458.99235
201	1458.839481
202	1458.6798
203	1458.51304
204	1458.351103
205	1458.192064
206	1458.02357
207	1457.860938
208	1457.702006
209	1457.545399
210	1457.380642
211	1457.219267
212	1457.053434
213	1456.885784
214	1456.713299
215	1456.543488
216	1456.387563
217	1456.219167
218	1456.053099
219	1455.888492
220	1455.728564
221	1455.562339
222	1455.405957
223	1455.250484
224	1455.088887
225	1454.923011
226	1454.756883
227	1454.589651
228	1454.431034
229	1454.270901
230	1454.104075
231	1453.939507
232	1453.771518
233	1453.607296
234	1453.446011
235	1453.284971
236	1453.119108
237	1452.960971
238	1452.810383
239	1452.652591
240	1452.486109
241	1452.331364
242	1452.169598
243	1452.008034
244	1451.839661
245	1451.673279
246	1451.523831
247	1451.362306
248	1451.208932
249	1451.052518
250	1450.8938
251	1450.739676
252	1450.576383
253	1450.414946
254	1450.250991
255	1450.093141
256	1449.937367
257	1449.784924
258	1449.62909
259	1449.463719
260	1449.299526
261	1449.134895
262	1448.969119
263	1448.815537
264	1448.660632
265	1448.503448
266	1448.344559
267	1448.178416
268	1448.016217
269	1447.864289
270	1447.719961
271	1447.562778
272	1447.413705
273	1447.252491
274	1447.090066
275	1446.938189
276	1446.774951
277	1446.615889
278	1446.469468
279	1446.306108
280	1446.156678
281	1445.989561
282	1445.82871
283	1445.67729
284	1445.51991
285	1445.361122
286	1445.206568
287	1445.050578
288	1444.888605
289	1444.73188
290	1444.574751
291	1444.427676
292	1444.265997
293	1444.11249
294	1443.958563
295	1443.808259
296	1443.656392
297	1443.506149
298	1443.345859
299	1443.188199
300	1443.035409
301	1442.88367
302	1442.728016
303	1442.570414
304	1442.416705
305	1442.25973
306	1442.097507
307	1441.946517
308	1441.788536
309	1441.62889
310	1441.47116
311	1441.332212
312	1441.184767
313	1441.037584
314	1440.878844
315	1440.726026
316	1440.573778
317	1440.423641
318	1440.263572
319	1440.112516
320	1439.971316
321	1439.820042
322	1439.668989
323	1439.508781
324	1439.348826
325	1439.204506
326	1439.054037
327	1438.898415
328	1438.7451
329	1438.587352
330	1438.427709
331	1438.278218
332	1438.123337
333	1437.970211
334	1437.81208
335	1437.659266
336	1437.508521
337	1437.357891
338	1437.203445
339	1437.051193
340	1436.895951
341	1436.746408
342	1436.601738
343	1436.456972
344	1436.29626
345	1436.134352
346	1435.97725
347	1435.829554
348	1435.682093
349	1435.533127
350	1435.386811
351	1435.228242
352	1435.085304
353	1434.942496
354	1434.797483
355	1434.646193
356	1434.497351
357	1434.343187
358	1434.192433
359	1434.037952
360	1433.901288
361	1433.75361
362	1433.605101
363	1433.458033
364	1433.304943
365	1433.152583
366	1432.999668
367	1432.846714
368	1432.696728
369	1432.547839
370	1432.397825
371	1432.241044
372	1432.091831
373	1431.944601
374	1431.798141
375	1431.641
376	1431.493923
377	1431.340167
378	1431.186528
379	1431.032218
380	1430.884194
381	1430.746492
382	1430.592806
383	1430.445001
384	1430.303485
385	1430.152785
386	1430.007529
387	1429.856439
388	1429.697955
389	1429.546777
390	1429.397527
391	1429.250636
392	1429.100543
393	1428.944426
394	1428.796254
395	1428.657189
396	1428.51197
397	1428.355089
398	1428.211646
399	1428.064962
400	1427.915353
401	1427.770319
402	1427.62111
403	1427.473689
404	1427.319103
405	1427.16101
406	1427.011764
407	1426.861831
408	1426.70885
409	1426.547397
410	1426.408097
411	1426.252109
412	1426.107979
413	1425.958619
414	1425.811408
415	1425.665749
416	1425.521587
417	1425.380681
418	1425.235241
419	1425.086562
420	1424.942422
421	1424.795259
422	1424.651643
423	1424.506182
424	1424.351628
425	1424.201562
426	1424.048694
427	1423.896241
428	1423.7453
429	1423.600462
430	1423.445711
431	1423.293308
432	1423.142407
433	1422.99862
434	1422.857138
435	1422.714898
436	1422.572114
437	1422.426525
438	1422.275681
439	1422.119924
440	1421.974122
441	1421.827037
442	1421.682766
443	1421.526878
444	1421.386903
445	1421.245541
446	1421.102628
447	1420.953665
448	1420.80697
449	1420.666649
450	1420.523529
451	1420.384834
452	1420.240146
453	1420.09861
454	1419.950075
455	1419.800081
456	1419.655095
457	1419.509693
458	1419.36918
459	1419.224864
460	1419.085698
461	1418.935067
462	1418.801874
463	1418.660879
464	1418.522801
465	1418.381628
466	1418.239743
467	1418.088669
468	1417.933703
469	1417.794015
470	1417.64726
471	1417.497541
472	1417.348489
473	1417.206048
474	1417.067111
475	1416.928399
476	1416.789072
477	1416.647592
478	1416.504367
479	1416.367012
480	1416.22316
481	1416.079283
482	1415.94861
483	1415.809937
484	1415.658256
485	1415.515702
486	1415.367754
487	1415.228367
488	1415.090743
489	1414.944784
490	1414.791461
491	1414.652165
492	1414.492197
493	1414.352736
494	1414.205955
495	1414.074886
496	1413.929927
497	1413.790885
498	1413.642188
499	1413.496577
500	1413.348329
501	1413.207968
502	1413.079823
503	1412.944634
504	1412.797309
505	1412.65982
506	1412.525025
507	1412.3798
508	1412.235687
509	1412.102157
510	1411.969194
511	1411.834398
512	1411.685619
513	1411.558846
514	1411.417495
515	1411.265509
516	1411.11742
517	1410.98148
518	1410.83352
519	1410.690954
520	1410.545397
521	1410.399952
522	1410.255602
523	1410.106413
524	1409.964681
525	1409.81879
526	1409.676713
527	1409.5383
528	1409.400028
529	1409.258862
530	1409.120508
531	1408.976904
532	1408.839294
533	1408.700853
534	1408.563567
535	1408.419601
536	1408.272894
537	1408.139708
538	1407.991504
539	1407.854446
540	1407.716881
541	1407.587864
542	1407.457914
543	1407.31787
544	1407.168522
545	1407.027091
546	1406.891139
547	1406.759391
548	1406.624108
549	1406.478768
550	1406.344742
551	1406.207691
552	1406.062633
553	1405.931369
554	1405.786992
555	1405.650562
556	1405.519963
557	1405.381018
558	1405.247974
559	1405.110509
560	1404.97124
561	1404.833023
562	1404.694318
563	1404.560015
564	1404.426511
565	1404.292003
566	1404.157449
567	1404.023375
568	1403.882727
569	1403.750795
570	1403.613249
571	1403.463765
572	1403.326793
573	1403.19597
574	1403.055066
575	1402.910059
576	1402.771215
577	1402.635333
578	1402.504148
579	1402.360735
580	1402.233401
581	1402.105244
582	1401.968698
583	1401.84236
584	1401.70808
585	1401.572234
586	1401.437545
587	1401.298654
588	1401.161595
589	1401.013824
590	1400.872183
591	1400.734533
592	1400.591823
593	1400.45345
594	1400.323501
595	1400.18518
596	1400.057641
597	1399.918234
598	1399.776089
599	1399.638531
600	1399.510348
601	1399.364612
602	1399.230579
603	1399.096777
604	1398.967247
605	1398.847937
606	1398.710843
607	1398.579035
608	1398.447982
609	1398.305377
610	1398.177534
611	1398.038766
612	1397.904108
613	1397.770428
614	1397.638403
615	1397.496198
616	1397.366657
617	1397.24372
618	1397.113151
619	1396.97364
620	1396.835657
621	1396.701538
622	1396.558521
623	1396.422808
624	1396.280902
625	1396.147118
626	1396.012424
627	1395.88601
628	1395.76289
629	1395.636461
630	1395.503691
631	1395.375229
632	1395.240475
633	1395.10575
634	1394.972825
635	1394.84497
636	1394.70237
637	1394.575562
638	1394.43922
639	1394.307485
640	1394.166127
641	1394.031078
642	1393.903696
643	1393.770055
644	1393.636735
645	1393.505232
646	1393.381205
647	1393.255271
648	1393.1162
649	1392.983776
650	1392.86192
651	1392.727602
652	1392.59469
653	1392.46608
654	1392.330481
655	1392.197075
656	1392.068816
657	1391.929545
658	1391.800126
659	1391.677923
660	1391.550248
661	1391.42479
662	1391.280689
663	1391.146858
664	1391.014533
665	1390.882457
666	1390.754592
667	1390.622186
668	1390.494463
669	1390.355161
670	1390.220721
671	1390.082831
672	1389.942153
673	1389.811404
674	1389.679158
675	1389.54672
676	1389.413801
677	1389.278591
678	1389.1507
679	1389.015614
680	1388.888766
681	1388.747997
682	1388.619707
683	1388.497349
684	1388.36502
685	1388.242528
686	1388.115665
687	1387.991106
688	1387.856602
689	1387.733223
690	1387.601717
691	1387.476712
692	1387.344928
693	1387.207687
694	1387.06937
695	1386.936373
696	1386.803581
697	1386.665601
698	1386.535021
699	1386.403255
700	1386.282574
701	1386.151901
702	1386.016518
703	1385.897635
704	1385.758323
705	1385.624958
706	1385.495917
707	1385.369267
708	1385.242101
709	1385.111862
710	1384.985924
711	1384.855274
712	1384.725605
713	1384.591635
714	1384.460802
715	1384.331048
716	1384.208909
717	1384.084937
718	1383.96199
719	1383.832473
720	1383.70592
721	1383.572697
722	1383.439469
723	1383.315167
724	1383.184383
725	1383.048642
726	1382.92047
727	1382.787299
728	1382.65954
729	1382.533804
730	1382.402453
731	1382.278439
732	1382.145697
733	1382.019634
734	1381.896859
735	1381.765944
736	1381.642716
737	1381.517068
738	1381.385077
739	1381.253635
740	1381.131554
741	1381.005987
742	1380.87179
743	1380.744256
744	1380.628968
745	1380.499587
746	1380.376316
747	1380.255968
748	1380.135321
749	1380.016595
750	1379.886081
751	1379.750188
752	1379.630363
753	1379.508548
754	1379.384478
755	1379.254602
756	1379.125457
757	1379.002826
758	1378.884445
759	1378.761915
760	1378.634758
761	1378.502599
762	1378.375377
763	1378.244358
764	1378.129691
765	1378.007552
766	1377.894881
767	1377.771836
768	1377.65033
769	1377.525198
770	1377.407204
771	1377.279564
772	1377.150228
773	1377.031906
774	1376.910924
775	1376.781144
776	1376.65264
777	1376.528246
778	1376.412307
779	1376.286438
780	1376.162597
781	1376.030269
782	1375.901676
783	1375.769334
784	1375.645273
785	1375.529973
786	1375.40438
787	1375.287686
788	1375.168924
789	1375.044935
790	1374.927455
791	1374.801788
792	1374.685384
793	1374.555164
794	1374.432465
795	1374.307343
796	1374.18358
797	1374.054187
798	1373.942043
799	1373.812767
800	1373.678572
801	1373.55216
802	1373.438299
803	1373.310079
804	1373.184343
805	1373.067161
806	1372.945463
807	1372.826802
808	1372.702142
809	1372.575582
810	1372.448108
811	1372.324257
812	1372.204345
813	1372.074964
814	1371.947241
815	1371.810731
816	1371.685638
817	1371.561134
818	1371.444374
819	1371.324271
820	1371.20145
821	1371.075505
822	1370.950971
823	1370.820829
824	1370.693965
825	1370.568689
826	1370.456475
827	1370.338741
828	1370.219376
829	1370.095774
830	1369.979125
831	1369.859068
832	1369.74339
833	1369.613736
834	1369.494017
835	1369.364664
836	1369.237926
837	1369.1104
838	1368.982337
839	1368.861561
840	1368.743652
841	1368.618597
842	1368.502068
843	1368.38746
844	1368.2704
845	1368.148779
846	1368.02529
847	1367.903332
848	1367.777067
849	1367.664029
850	1367.537387
851	1367.419111
852	1367.30157
853	1367.17918
854	1367.061996
855	1366.937806
856	1366.8161
857	1366.69735
858	1366.570477
859	1366.443734
860	1366.323878
861	1366.202847
862	1366.075285
863	1365.961483
864	1365.834213
865	1365.711016
866	1365.592165
867	1365.470408
868	1365.348385
869	1365.2391
870	1365.114072
871	1364.980246
872	1364.861836
873	1364.736796
874	1364.62429
875	1364.511921
876	1364.382759
877	1364.265099
878	1364.136882
879	1364.02255
880	1363.89918
881	1363.783106
882	1363.663461
883	1363.544764
884	1363.434269
885	1363.316438
886	1363.196922
887	1363.077951
888	1362.952359
889	1362.824526
890	1362.702644
891	1362.598084
892	1362.476303
893	1362.356581
894	1362.246426
895	1362.137796
896	1362.012584
897	1361.892149
898	1361.767832
899	1361.646059
900	1361.542062
901	1361.425311
902	1361.298716
903	1361.177623
904	1361.055116
905	1360.936523
906	1360.817772
907	1360.70267
908	1360.582308
909	1360.454809
910	1360.336526
911	1360.220328
912	1360.105694
913	1359.99013
914	1359.870534
915	1359.756309
916	1359.647878
917	1359.523495
918	1359.400318
919	1359.28347
920	1359.171431
921	1359.049257
922	1358.923103
923	1358.808137
924	1358.706587
925	1358.590633
926	1358.47757
927	1358.355697
928	1358.231305
929	1358.10477
930	1357.987729
931	1357.860733
932	1357.740551
933	1357.628283
934	1357.518542
935	1357.40054
936	1357.293814
937	1357.171855
938	1357.058785
939	1356.94117
940	1356.816823
941	1356.695734
942	1356.574329
943	1356.455606
944	1356.347564
945	1356.223209
946	1356.113474
947	1355.995366
948	1355.882078
949	1355.76545
950	1355.646511
951	1355.530774
952	1355.418314
953	1355.299807
954	1355.185546
955	1355.065292
956	1354.946395
957	1354.829415
958	1354.712055
959	1354.60299
960	1354.478426
961	1354.355203
962	1354.236485
963	1354.126339
964	1354.020029
965	1353.900144
966	1353.794707
967	1353.688171
968	1353.578504
969	1353.46278
970	1353.346743
971	1353.224171
972	1353.105736
973	1353.000904
974	1352.888619
975	1352.785314
976	1352.666261
977	1352.552924
978	1352.44392
979	1352.32491
980	1352.214316
981	1352.100242
982	1351.98742
983	1351.873449
984	1351.757925
985	1351.646458
986	1351.523343
987	1351.406844
988	1351.292688
989	1351.178887
990	1351.071638
991	1350.964572
992	1350.847822
993	1350.728222
994	1350.618045
995	1350.503987
996	1350.390695
997	1350.272786
998	1350.164423
999	1350.046516
1000	1349.930148
1001	1349.815131
1002	1349.700282
1003	1349.602022
1004	1349.49529
1005	1349.381004
1006	1349.270041
1007	1349.163414
1008	1349.049313
1009	1348.944663
1010	1348.82064
1011	1348.711444
1012	1348.590817
1013	1348.476619
1014	1348.365072
1015	1348.245684
1016	1348.139955
1017	1348.026569
1018	1347.912974
1019	1347.799617
1020	1347.684223
1021	1347.56668
1022	1347.457721
1023	1347.348648
1024	1347.22698
1025	1347.113275
1026	1346.993418
1027	1346.877683
1028	1346.756448
1029	1346.655941
1030	1346.550531
1031	1346.45578
1032	1346.340233
1033	1346.221742
1034	1346.104022
1035	1345.983684
1036	1345.882273
1037	1345.766094
1038	1345.658526
1039	1345.549621
1040	1345.434963
1041	1345.314735
1042	1345.213347
1043	1345.097128
1044	1344.974498
1045	1344.868048
1046	1344.748193
1047	1344.632329
1048	1344.50482
1049	1344.387935
1050	1344.290475
1051	1344.177592
1052	1344.067344
1053	1343.958489
1054	1343.850576
1055	1343.741653
1056	1343.630615
1057	1343.517256
1058	1343.404283
1059	1343.298653
1060	1343.192739
1061	1343.085013
1062	1342.98272
1063	1342.876766
1064	1342.765676
1065	1342.658543
1066	1342.544814
1067	1342.436905
1068	1342.329111
1069	1342.231047
1070	1342.110652
1071	1341.994347
1072	1341.861635
1073	1341.75823
1074	1341.653618
1075	1341.545734
1076	1341.439369
1077	1341.322835
1078	1341.225928
1079	1341.119409
1080	1341.012693
1081	1340.900435
1082	1340.791801
1083	1340.677514
1084	1340.569208
1085	1340.457848
1086	1340.351797
1087	1340.23418
1088	1340.121174
1089	1340.012369
1090	1339.915042
1091	1339.801933
1092	1339.686694
1093	1339.573142
1094	1339.466838
1095	1339.359634
1096	1339.250623
1097	1339.149922
1098	1339.040151
1099	1338.930259
1100	1338.818073
1101	1338.70683
1102	1338.598348
1103	1338.485885
1104	1338.374865
1105	1338.258038
1106	1338.153522
1107	1338.04812
1108	1337.936307
1109	1337.822136
1110	1337.711772
1111	1337.611521
1112	1337.506592
1113	1337.393206
1114	1337.285077
1115	1337.174278
1116	1337.068258
1117	1336.952999
1118	1336.855739
1119	1336.752106
1120	1336.638336
1121	1336.537121
1122	1336.436764
1123	1336.33315
1124	1336.225078
1125	1336.122507
1126	1336.013889
1127	1335.892868
1128	1335.781855
1129	1335.673772
1130	1335.570731
1131	1335.476146
1132	1335.378613
1133	1335.276754
1134	1335.179727
1135	1335.062856
1136	1334.955571
1137	1334.844745
1138	1334.737285
1139	1334.623976
1140	1334.522842
1141	1334.420006
1142	1334.316549
1143	1334.192095
1144	1334.092568
1145	1333.99279
1146	1333.886417
1147	1333.784048
1148	1333.678309
1149	1333.568047
1150	1333.457316
1151	1333.343628
1152	1333.242493
1153	1333.147422
1154	1333.043092
1155	1332.93336
1156	1332.821736
1157	1332.716675
1158	1332.612129
1159	1332.502634
1160	1332.398179
1161	1332.288683
1162	1332.186106
1163	1332.082134
1164	1331.970958
1165	1331.866458
1166	1331.767929
1167	1331.65861
1168	1331.545407
1169	1331.437153
1170	1331.331934
1171	1331.229466
1172	1331.13216
1173	1331.020256
1174	1330.91667
1175	1330.807752
1176	1330.703828
1177	1330.606092
1178	1330.504056
1179	1330.402428
1180	1330.296312
1181	1330.196498
1182	1330.086304
1183	1329.988079
1184	1329.886697
1185	1329.78581
1186	1329.679306
1187	1329.569981
1188	1329.460156
1189	1329.353378
1190	1329.256141
1191	1329.160281
1192	1329.067503
1193	1328.969106
1194	1328.863075
1195	1328.757048
1196	1328.653244
1197	1328.541549
1198	1328.434143
1199	1328.334873
1200	1328.222572
1201	1328.116591
1202	1328.012583
1203	1327.90097
1204	1327.805914
1205	1327.698132
1206	1327.604277
1207	1327.494532
1208	1327.396262
1209	1327.288938
1210	1327.17729
1211	1327.078543
1212	1326.980367
1213	1326.87506
1214	1326.763913
1215	1326.662706
1216	1326.560119
1217	1326.460085
1218	1326.358481
1219	1326.267602
1220	1326.165616
1221	1326.057995
1222	1325.961864
1223	1325.861664
1224	1325.757398
1225	1325.657647
1226	1325.567171
1227	1325.458511
1228	1325.353355
1229	1325.24707
1230	1325.147285
1231	1325.048528
1232	1324.954873
1233	1324.84732
1234	1324.740182
1235	1324.645808
1236	1324.538911
1237	1324.438502
1238	1324.332225
